gauge_id,gauge_lat,gauge_lon,GPP_MODIS_gCperm2yr,NPP_MODIS_gCperm2yr,GPP_gCperm2yr,C4_fraction,C4_fraction_un
6441500,44.32665,-100.3843,543.1434783,312.8695652,690.5064,32.08788306,1.909539712
6447000,43.7525,-101.52487,502.9173913,292.6347826,690.6844,36.76403305,2.549558979
6447500,43.16667,-101.63015,613.8478261,360.7347826,891.6777,31.82271149,2.529499979
6450500,43.60139,-100.74986,571.2652174,319.573913,911.6567,35.78965406,2.373984737
6452000,43.74833,-99.55649,761.0565217,431.9521739,904.87445,30.74833691,1.373530997
6453600,42.81099,-98.17586,942.3565217,509.3521739,1065.8391,28.76991757,1.79485408
6464500,43.02889,-99.78067,675.926087,369.3695652,1093.3087,27.70526735,1.701344772
6468170,47.55805,-98.86289,805.4130435,479.2695652,872.50195,7.489230917,1.697219626
6468250,47.39972,-98.79761,808.0391304,479.326087,900.13165,6.572481235,1.991300579
6470800,46.22524,-98.07177,835.673913,459.0478261,1088.6315,9.94986136,2.137650025
6477500,43.7764,-98.24567,762.6347826,474.9956522,1149.598,20.47039639,
6479215,45.1808,-97.18619,913.5565217,538.3086957,1093.6986,14.48572513,1.968534479
6479438,45.00608,-97.16508,914.3782609,543.4173913,1107.5339,14.48572513,1.968534479
6601000,42.32158,-96.48768,802.1869565,487.4086957,1653.4377,33.61990244,3.453783435
6614800,40.49609,-105.86501,630.5782609,385.2434783,493.60135,,
6622700,41.37024,-106.52058,589.6869565,373.4826087,852.2037,14.21412354,2.148851738
6623800,41.02358,-106.82477,712.2130435,467.1782609,634.44714,14.21412354,2.148851738
6632400,41.58525,-106.22279,543.7869565,355.5782609,636.50146,20.86339225,2.219458317
6746095,40.53998,-105.88279,751.9086957,486.1652174,617.5049,0.64883614,
6784000,41.03244,-98.74053,896.0434783,455.4391304,1343.5891,37.61396781,2.427009797
6803510,40.89311,-96.68155,775.7956522,450.126087,1203.8926,33.32366012,3.641316579
6803530,41.0157,-96.54428,799.7869565,458.7826087,1444.2908,37.82862953,3.82975673
6814000,39.94778,-96.10862,895.0318182,496.0772727,1420.6487,34.74726498,3.030074941
6847900,39.76985,-100.10078,772.5318182,388.8590909,936.2773,47.12104065,3.738376239
6853800,39.89925,-98.25043,768.0545455,433.9454545,1188.316,39.19208113,2.295910822
6876700,39.13907,-97.83696,791.1272727,393.4772727,1298.8198,39.77022061,1.886133349
6878000,39.03111,-97.04029,872.3727273,381.1954545,1450.4415,35.5769416,1.885091962
6879650,39.10195,-96.59521,935.8090909,419.1681818,1612.9779,39.19738004,3.149740773
6885500,39.68192,-96.44289,798.5409091,436.6181818,1395.5453,34.74726498,3.030074941
6888500,39.06265,-96.15025,886.0818182,420.0863636,1621.9788,36.12697027,2.760297676
6889200,39.23833,-95.8886,911.9681818,403.3136364,1588.6202,31.36081003,2.821678021
6889500,39.09938,-95.72495,901.9272727,422.5636364,1289.001,31.36081003,2.821678021
6892000,39.11633,-95.01088,1035.836364,499.5954545,1692.9141,36.58158626,2.506474357
6903400,40.95189,-93.25985,1085.482609,620.826087,1642.6307,25.29179013,2.305322682
6906800,38.70225,-92.97883,1197.940909,578.0727273,1952.0071,25.54829611,1.56875199
6910800,38.56701,-95.96163,936.6227273,415.7727273,1710.3372,32.98451101,3.021337259
6911900,38.71069,-95.83603,1026.118182,487.4227273,1659.4236,32.98451101,3.021337259
6917000,38.01897,-94.71367,1054.981818,583.7090909,1689.5922,30.26523436,2.674250292
6918460,37.40237,-93.80203,1282.159091,591.3363636,2056.0742,28.45414788,1.381521141
6919500,37.8342,-93.87549,1284.004545,602.5409091,1931.7894,30.76515891,3.461785096
6921070,37.68265,-93.37033,1343.695455,602.7318182,2052.9243,24.55831704,2.888405195
6921200,37.75047,-93.26618,1311.95,611.0681818,2001.9331,24.55831704,2.888405195
6934000,38.38881,-91.81989,1273.086364,536.6863636,1950.8378,27.59004466,3.509237158
7014500,38.15853,-91.10846,1514.968182,780.65,1861.765,23.02218953,3.307368931
7056000,35.98318,-92.74755,1331.809091,584.0045455,1911.9562,,
7057500,36.62303,-92.24813,1395.077273,663.7045455,1790.4315,7.263833777,1.545542453
7060710,35.99535,-92.21265,1578.677273,728.4227273,1929.1941,,
7066000,37.15408,-91.35816,986.0318182,593.5454545,1874.428,,
7067000,36.99138,-91.01351,1056.336364,590.2227273,1856.2809,,
7068000,36.622,-90.84762,1479.295455,541.0272727,1813.4479,0.130671125,
7071500,36.64868,-91.20082,1490.968182,709.1090909,1885.9753,,
7083000,39.17221,-106.38919,688.2434783,480.0391304,409.3119,,
7142300,37.87159,-98.87614,729.3318182,353.2909091,1413.1128,29.20104904,2.409003426
7145700,37.24955,-97.4039,832.4681818,467.1818182,1121.432,13.39576397,1.273962503
7148400,36.81503,-98.64814,663.7,304.5545455,1104.83,34.8412902,2.795199618
7149000,37.0392,-98.47021,705.8681818,336.6409091,1061.2291,18.07970152,0.856379225
7151500,37.12891,-97.60144,844.5181818,472.7318182,1114.722,17.26212037,2.394632227
7167500,37.70821,-96.2236,928.6136364,431.6545455,1746.6255,45.94291461,3.478607628
7180500,38.19645,-96.82458,931.1727273,423.4590909,1577.2664,48.62501162,3.379239862
7184000,37.28125,-95.03267,1006.777273,535.8545455,1740.5564,29.1128275,1.386571854
7195800,36.25548,-94.43394,1344.904545,587.9409091,2231.9226,25.44740534,2.949526756
7196900,35.88008,-94.48661,1388.436364,575.85,2261.2192,0.040197619,
7197000,35.9212,-94.83856,1262.236364,497.6136364,2241.4072,27.33168068,3.267620257
7208500,36.37226,-104.97,517.3652174,344.0217391,712.3165,55.52230999,3.161495658
7226500,35.43838,-103.52579,277.0608696,155.4869565,350.3906,66.99670119,3.704488453
